measured-at: 2026-08-13T13:03:46Z
host: multipass Ubuntu 26.04 LTS / kernel 7.0.0-28-generic / 4 vCPU
client: curl 8.18.0 (aarch64-unknown-linux-gnu) libcurl/8.18.0 OpenSSL/3.5.5 zlib/1.3.1 libpsl/0.21.2 nghttp2/1.68.0 ngtcp2/1.16.0 nghttp3/1.12.0
server: nginx version: nginx/1.28.3 (Ubuntu) / http3_stream_buffer_size=64k
note: M3（手動・CI 対象外）。判定は全オブジェクトが揃うまでの実時間

### rate=100mbit rtt設定=20ms limit=2000pkt  cfg=64k
qdisc(veth-s): qdisc netem 8022: root refcnt 5 limit 2000 delay 10ms rate 100Mbit seed 10332237314599929571
実効RTT: {"n":10,"min":20.13,"median":22.65,"max":54.34}
  N=6 h1-seq run1 rc=0 elapsed=0.4995s
  N=6 h1-seq run2 rc=0 elapsed=0.4971s
  N=6 h1-seq run3 rc=0 elapsed=0.475s
  N=6 h1-par6 run1 rc=0 elapsed=0.1855s
  N=6 h1-par6 run2 rc=0 elapsed=0.1491s
  N=6 h1-par6 run3 rc=0 elapsed=0.1627s
  N=6 h2 run1 rc=0 elapsed=0.2492s
  N=6 h2 run2 rc=0 elapsed=0.2557s
  N=6 h2 run3 rc=0 elapsed=0.2549s
  N=6 h3 run1 rc=0 elapsed=0.1082s
  N=6 h3 run2 rc=0 elapsed=0.0915s
  N=6 h3 run3 rc=0 elapsed=0.1664s
  N=25 h1-seq run1 rc=0 elapsed=1.7398s
  N=25 h1-seq run2 rc=0 elapsed=1.7162s
  N=25 h1-seq run3 rc=0 elapsed=1.6075s
  N=25 h1-par6 run1 rc=0 elapsed=0.3859s
  N=25 h1-par6 run2 rc=0 elapsed=0.3784s
  N=25 h1-par6 run3 rc=0 elapsed=0.3148s
  N=25 h2 run1 rc=0 elapsed=0.1658s
  N=25 h2 run2 rc=0 elapsed=0.207s
  N=25 h2 run3 rc=0 elapsed=0.3107s
  N=25 h3 run1 rc=0 elapsed=0.1207s
  N=25 h3 run2 rc=0 elapsed=0.1155s
  N=25 h3 run3 rc=0 elapsed=0.1605s
  N=100 h1-seq run1 rc=0 elapsed=6.4601s
  N=100 h1-seq run2 rc=0 elapsed=6.5704s
  N=100 h1-seq run3 rc=0 elapsed=6.7561s
  N=100 h1-par6 run1 rc=0 elapsed=1.3125s
  N=100 h1-par6 run2 rc=0 elapsed=1.2157s
  N=100 h1-par6 run3 rc=0 elapsed=1.2243s
  N=100 h2 run1 rc=0 elapsed=0.6525s
  N=100 h2 run2 rc=0 elapsed=1.4812s
  N=100 h2 run3 rc=0 elapsed=0.8209s
  N=100 h3 run1 rc=0 elapsed=0.4524s
  N=100 h3 run2 rc=0 elapsed=0.2996s
  N=100 h3 run3 rc=0 elapsed=0.3397s

### rate=100mbit rtt設定=100ms limit=2500pkt  cfg=64k
qdisc(veth-s): qdisc netem 8024: root refcnt 5 limit 2500 delay 50ms rate 100Mbit seed 9856665689660403258
実効RTT: {"n":10,"min":134.19,"median":173.69,"max":200.82}
  N=6 h1-seq run1 rc=0 elapsed=1.5017s
  N=6 h1-seq run2 rc=0 elapsed=1.423s
  N=6 h1-seq run3 rc=0 elapsed=1.551s
  N=6 h1-par6 run1 rc=0 elapsed=0.5263s
  N=6 h1-par6 run2 rc=0 elapsed=0.5523s
  N=6 h1-par6 run3 rc=0 elapsed=0.7014s
  N=6 h2 run1 rc=0 elapsed=0.7447s
  N=6 h2 run2 rc=0 elapsed=0.6556s
  N=6 h2 run3 rc=0 elapsed=0.7814s
  N=6 h3 run1 rc=0 elapsed=0.4208s
  N=6 h3 run2 rc=0 elapsed=0.4635s
  N=6 h3 run3 rc=0 elapsed=0.4831s
  N=25 h1-seq run1 rc=0 elapsed=4.9406s
  N=25 h1-seq run2 rc=0 elapsed=5.2068s
  N=25 h1-seq run3 rc=0 elapsed=4.9412s
  N=25 h1-par6 run1 rc=0 elapsed=1.2359s
  N=25 h1-par6 run2 rc=0 elapsed=1.2929s
  N=25 h1-par6 run3 rc=0 elapsed=1.396s
  N=25 h2 run1 rc=0 elapsed=0.9754s
  N=25 h2 run2 rc=0 elapsed=1.0122s
  N=25 h2 run3 rc=0 elapsed=0.9644s
  N=25 h3 run1 rc=0 elapsed=0.3758s
  N=25 h3 run2 rc=0 elapsed=0.441s
  N=25 h3 run3 rc=0 elapsed=0.3744s
  N=100 h1-seq run1 rc=0 elapsed=19.4253s
  N=100 h1-seq run2 rc=0 elapsed=19.3734s
  N=100 h1-seq run3 rc=0 elapsed=19.6193s
  N=100 h1-par6 run1 rc=0 elapsed=4.0097s
  N=100 h1-par6 run2 rc=0 elapsed=4.1091s
  N=100 h1-par6 run3 rc=0 elapsed=4.3796s
  N=100 h2 run1 rc=0 elapsed=2.531s
  N=100 h2 run2 rc=0 elapsed=2.126s
  N=100 h2 run3 rc=0 elapsed=3.2097s
  N=100 h3 run1 rc=0 elapsed=3.1094s
  N=100 h3 run2 rc=0 elapsed=2.1435s
  N=100 h3 run3 rc=0 elapsed=2.35s

[done] /home/ubuntu/results-011-mux/mux-64k.jsonl
